Feature,Original DT (depth=15)_PermImportance,Original DT (depth=15)_PermStd,Original DT (depth=15)_PermRank,Pruned DT (depth=3)_PermImportance,Pruned DT (depth=3)_PermStd,Pruned DT (depth=3)_PermRank,Random Forest_PermImportance,Random Forest_PermStd,Random Forest_PermRank
OverTime,0.014285714285714235,0.01358842473159056,2,0.10952380952380954,0.016368992402062556,1,0.030952380952380988,0.013812204424657805,1
DistanceFromHome,-0.009523809523809535,0.007726405912653442,40,0.0,0.0,36,0.012585034013605455,0.00590113999078146,2
JobSatisfaction,0.00034013605442176906,0.0023809523809523838,13,0.0,0.0,33,0.01156462585034015,0.005732074675630182,3
MaritalStatus_Single,0.0,0.0,18,0.0,0.0,3,0.01122448979591838,0.004822260843114912,4
EnvironmentSatisfaction,-0.01564625850340138,0.004081632653061229,43,0.0,0.0,38,0.008503401360544227,0.005323971374999506,5
JobRole_Sales Executive,0.0,0.0030422693571425744,16,0.0,0.0,4,0.0071428571428571504,0.0032088371197471475,6
Age,-0.010204081632653073,0.008331597764568642,41,-0.028571428571428505,0.007786070164802434,42,0.006802721088435382,0.009376903912986557,8
StockOptionLevel,0.016666666666666607,0.0059790462011043675,1,0.0,0.0,24,0.006802721088435382,0.006630472343407466,7
Department_Sales,0.0027210884353741525,0.0039666339420716375,9,0.0,0.0,16,0.005782312925170075,0.003418325041197585,9
NumCompaniesWorked,-0.005442176870748305,0.009401547592575013,35,0.0,0.0,30,0.005442176870748305,0.006665278211654913,10
DailyRate,-0.0047619047619047675,0.0070038300278823205,33,0.0,0.0,41,0.004421768707482998,0.00528033152934015,12
JobInvolvement,-0.0006802721088435381,0.0013605442176870763,28,0.0,0.0,35,0.004421768707482998,0.004576062601045485,11
YearsSinceLastPromotion,-0.009183673469387765,0.005495066129729092,39,0.0,0.0,27,0.004081632653061229,0.0029652373765582845,13
Department_Research & Development,0.0,0.0,25,0.0,0.0,17,0.004081632653061229,0.004248297958094153,14
Education,0.005102040816326536,0.003135899475269693,4,0.0,0.0,39,0.00374149659863946,0.004421768707482998,15
RelationshipSatisfaction,0.0013605442176870763,0.004355866828185616,10,0.0,0.0,25,0.0030612244897959217,0.005578646077162158,17
JobLevel,0.0010204081632653073,0.00528033152934015,11,0.0,0.0,34,0.0030612244897959217,0.008665128709426538,16
YearsAtCompany,-0.005782312925170075,0.00374149659863946,36,0.0,0.0,21,0.0023809523809523838,0.008876182551496532,18
HourlyRate,-0.00034013605442176906,0.00415188966521555,27,0.0,0.0,28,0.0020408163265306146,0.0037875948046462776,19
EducationField_Medical,-0.0030612244897959217,0.002825382266298668,32,0.0,0.0,15,0.0020408163265306146,0.0016663195529137286,21
JobRole_Sales Representative,0.009183673469387744,0.006281015412455547,3,0.0,0.0,11,0.0020408163265306146,0.0016663195529137286,20
Gender,0.0,0.0,22,0.0,0.0,37,0.0017006802721088454,0.002281702017856931,22
MonthlyIncome,0.005102040816326514,0.008771290447773866,5,0.0,0.0,32,0.0010204081632653073,0.006462585034013612,23
YearsInCurrentRole,-0.0017006802721088454,0.0046263505131753264,30,0.0,0.0,20,0.0006802721088435381,0.008577904906747282,24
JobRole_Manufacturing Director,0.0,0.0,15,0.0,0.0,7,0.00034013605442176906,0.0018316887099096972,25
JobRole_Research Scientist,0.004421768707482998,0.005056485968475688,7,0.0,0.0,5,0.0,0.003401360544217691,26
WorkLifeBalance,-0.006122448979591843,0.0047619047619047675,37,0.0,0.0,22,0.0,0.0015211346785712872,31
EducationField_Life Sciences,0.0,0.0,20,0.0,0.0,19,0.0,0.004563404035713862,28
EducationField_Other,0.0,0.0,24,0.0,0.0,13,0.0,0.002151209292631553,30
JobRole_Human Resources,0.00034013605442176906,0.0010204081632653073,12,0.0,0.0,10,0.0,0.0,27
EducationField_Marketing,0.0,0.0,26,0.0,0.0,14,0.0,0.0,29
JobRole_Research Director,0.0,0.0,17,0.0,0.0,6,-0.00034013605442176906,0.0010204081632653073,32
JobRole_Manager,0.0,0.0,14,0.0,0.0,8,-0.00034013605442176906,0.0010204081632653073,34
EducationField_Technical Degree,-0.0013605442176870763,0.0016663195529137286,29,0.0,0.0,12,-0.00034013605442176906,0.0010204081632653073,33
YearsWithCurrManager,0.0030612244897959217,0.002825382266298668,8,0.0,0.0,18,-0.0006802721088435381,0.00922765984098677,35
PerformanceRating,0.0,0.0,23,0.0,0.0,26,-0.0013605442176870763,0.0016663195529137286,36
BusinessTravel,-0.0047619047619047675,0.0022562073403778254,34,0.0,0.0,40,-0.0017006802721088454,0.005742157488481003,37
TrainingTimesLastYear,0.0047619047619047675,0.004081632653061229,6,0.0,0.0,23,-0.0020408163265306146,0.003468720757546116,38
JobRole_Laboratory Technician,0.0,0.0,21,0.0,0.0,9,-0.0027210884353741525,0.002545345161070711,39
MonthlyRate,-0.015306122448979609,0.0046263505131753264,42,0.0,0.0,31,-0.003401360544217691,0.006630472343407466,40
TotalWorkingYears,-0.009183673469387765,0.009133143933399705,38,-0.0438775510204081,0.0123998136962981,43,-0.003401360544217691,0.008869663136330145,41
MaritalStatus_Married,0.0,0.0,19,0.0,0.0,2,-0.004081632653061229,0.003332639105827457,42
PercentSalaryHike,-0.0027210884353741525,0.0042482979580941525,31,0.0,0.0,29,-0.0071428571428571504,0.003551124662894749,43
